country;money
Australia;0,43
Austria;0,63
Belgium;0,24
Bulgaria;0,24
Canada;4,02
Croatia;0,03
Cyprus;0,00
Czech Republic;0,57
Denmark;0,72
Estonia;0,31
EU;29,92
Finland;0,34
France;1,67
Germany;6,15
Greece;0,18
Hungary;0,05
Ireland;0,07
Italy;1,02
Japan;1,05
Latvia;0,31
Lithuania;0,35
Luxembourg;0,08
Malta;0,00
Netherlands;1,42
New Zealand;0,02
Norway;1,24
Poland;3,56
Portugal;0,46
South Korea;0,10
Romania;0,01
Slovakia;0,22
Slovenia;0,06
Spain;0,39
Sweden;0,80
Switzerland;0,24
Turkey;0,06
United Kingdom;8,31
United States;73,18
China;0,00
Taiwan;0,07
India;0,00



























